S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
109,Afghanistan,35000,0,15.2,3.62,509,141,9
110,Nepal,43000,0,24.2,5.39,1155,214,9
111,Latvia,37694,0,292.7,8.28,17726,2141,7
112,Benin,36000,0,50.8,3.63,1291,356,7
113,Papua New Guinea,37001,0,68.6,5.87,2637,449,7
114,Bosnia and Herzegovina,35000,0,158.4,6.55,6032,921,6
115,Mozambique,40000,0,22,4.94,449,91,4
116,Nicaragua,37000,0,90,5.18,1905,368,4
117,Kyrgyzstan,40000,0,100.9,3.14,1174,374,4
118,Uganda,32001,0,12.4,5.7,817,143,12
119,Estonia,28855,0,336,8.35,23027,2758,8
120,Zimbabwe,24000,0,26.2,6.13,1128,184,7
121,Georgia,33000,0,126,5.04,4279,849,7
122,State of Palestine,24001,0,79.4,6.62,3240,489,6
123,Namibia,26000,0,169,4.8,4211,877,5
124,Albania,27000,0,143.4,8,5215,652,5
125,Mauritius,28000,0,340.2,6.36,8628,1357,4
126,Brunei ,16000,0,584.3,0.83,27443,33064,57
127,Macao,17110,0,428,5.42,86117,15889,37
128,DR Congo,21000,0,4.1,4.43,557,126,31
129,Haiti,23000,0,32.5,2.18,1177,540,17
130,Gabon,21000,0,160.3,3.65,7006,1919,12
131,Madagascar,18000,0,11.1,3.86,496,128,12
132,Botswana,21000,0,149,4.29,6711,1564,10
133,Burkina Faso,23000,0,18.9,4.33,831,192,10
134,Moldova,18001,0,67.9,6.75,4551,674,10
135,Mali,21999,0,18.8,4.61,859,186,10
136,Congo,17000,0,52.3,3.94,1973,501,10
137,Togo,15000,0,30.6,3.18,915,288,9
138,Guinea,19001,0,24.8,5.13,1194,233,9
139,Zambia,22000,0,20.6,5.59,1051,188,9
140,Laos,18000,0,40.3,7.23,2630,364,9
141,Mongolia,21000,0,105.3,4.67,4007,858,8
142,Iceland,19090,0,880.9,9.83,59270,6030,7
143,North Macedonia,21000,0,154.7,7.12,5888,827,5
144,Bahamas,20036,0,812.7,6.48,25194,3888,5
145,Tajikistan,21000,0,37.2,5.94,859,145,4
146,New Caledonia,20000,0,1118.2,8.19,34789,4248,4
147,Fiji,16000,0,281.2,5.27,4882,926,3
149,Armenia,6000,0,31.3,4.77,4268,895,29
150,Malawi,6001,0,5.3,5.12,625,122,23
151,South Sudan,8001,0,11.3,4.8,1120,233,21
152,Rwanda,6700,0,8.8,5.36,798,149,17
153,Somalia,5600,0,6.1,3.03,309,102,17
154,Montenegro,7000,0,171.1,6.46,7677,1188,7
155,Sierra Leone,6500,0,13.6,5.17,485,94,7
156,Guyana,14000,0,278.2,4.6,6956,1512,5
157,Maldives,11000,0,354.6,3.6,6924,1923,5
158,Liberia,8000,0,26.7,4.9,583,119,4
159,Suriname,13000,0,352.8,4.26,6491,1524,4
160,Aruba,8000,0,1169.4,6.08,30253,4976,4
161,Lesotho,5001,0,36.9,5.68,861,152,4
162,Barbados,11001,0,590.1,8.27,15374,1859,3
163,Cabo Verde,5600,0,161.6,6.86,3064,447,3
