Country,Daily Oil Consumption (Barrels),Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,2022 Population,Continent
Mali,21999,18.8,4.61,1.22,186,10,22593590,Africa
Malta,47000,1652.2,5.28,1.4,5281,3,533286,Europe
Mauritius,28000,340.2,6.36,1.68,1357,4,1299469,Africa
Mexico,2052607,255.1,4.36,1.15,1910,7,127504125,North America
Moldova,18001,67.9,6.75,1.78,674,10,3272996,Europe
Mongolia,21000,105.3,4.67,1.23,858,8,3398366,Asia
Montenegro,7000,171.1,6.46,1.71,1188,7,627082,Europe
Montserrat,400,1231.1,4.57,1.21,2755,2,4390,North America
Morocco,275000,120,6.36,1.68,473,4,37457971,Africa
Mozambique,40000,22,4.94,1.3,91,4,32969517,Africa
Myanmar,123000,35.5,4.75,1.26,295,8,54179306,Asia
Namibia,26000,169,4.8,1.27,877,5,2567012,Africa
Nepal,43000,24.2,5.39,1.42,214,9,30547580,Asia
Netherlands,937098,846,9.33,2.47,5616,7,17564014,Europe
New Caledonia,20000,1118.2,8.19,2.16,4248,4,289950,Oceania
New Zealand,166913,549.2,7.82,2.07,5299,10,5185288,Oceania
Nicaragua,37000,90,5.18,1.37,368,4,6948392,North America
Nigeria,428000,35.3,1.57,0.42,1336,38,218541212,Africa
Niue,51,484.4,11.43,3.02,1364,3,1934,Oceania
North Macedonia,21000,154.7,7.12,1.88,827,5,2093599,Europe
Norway,204090,595.8,10.22,2.7,6594,11,5434319,Europe
Oman,183000,626.3,2.35,0.62,5387,9,4576298,Asia
Pakistan,556000,41.9,3.9,1.03,306,7,235824862,Asia
Panama,155000,588.6,5.49,1.45,2279,4,4408581,North America
Papua New Guinea,37001,68.6,5.87,1.55,449,7,10142619,Oceania
Paraguay,51000,115.4,5.3,1.4,934,8,6780744,South America
Peru,246000,121.9,6.26,1.65,979,8,34049588,South America
Philippines,429000,63.4,5.88,1.55,561,9,115559009,Asia
Poland,582161,234.9,6.8,1.8,2312,10,39857145,Europe
Portugal,236866,351.7,8.55,2.26,2594,7,10270865,Europe
Puerto Rico,96746,451.7,5.41,1.43,5969,13,3252407,North America
Qatar,172000,993.4,2.18,0.58,22993,23,2695122,Asia
Romania,200000,154.9,6.87,1.82,1877,12,19659267,Europe
Russia,3631287,383.2,3.41,0.9,2970,8,144713314,Europe
Rwanda,6700,8.8,5.36,1.42,149,17,13776698,Africa
Saudi Arabia,3302000,1560.2,2.35,0.62,8557,5,36408820,Asia
Senegal,49000,50.1,5.39,1.42,276,6,17316449,Africa
Serbia,74000,128.1,6.64,1.76,1163,9,7221365,Europe
Seychelles,7299,1169.1,6.9,1.82,1560,1,107118,Africa
Sierra Leone,6500,13.6,5.17,1.37,94,7,8605718,Africa
Singapore,1357000,3679.5,8.71,2.3,6865,2,5975689,Asia
Slovakia,81587,229.8,7.5,1.98,2569,11,5643453,Europe
Slovenia,52298,386.5,6.15,1.62,4149,11,2119844,Europe
Somalia,5600,6.1,3.03,0.8,102,17,17597511,Africa
South Africa,640000,174.6,5.59,1.48,911,5,59893885,Africa
South Korea,2605440,783.4,6.09,1.61,5194,7,51815810,Asia
South Sudan,8001,11.3,4.8,1.27,233,21,10913164,Africa
Spain,1290063,424.1,8.35,2.21,3241,8,47558630,Europe
Sri Lanka,127000,92.6,4.75,1.26,775,8,21832143,Asia
Sudan,140000,53.9,4.8,1.27,124,2,46874204,Africa
Suriname,13000,352.8,4.26,1.13,1524,4,618040,South America
Sweden,322109,502,8.7,2.3,6009,12,10549347,Europe
Switzerland,228194,417.5,8.27,2.19,10532,25,8740472,Europe
Syria,140000,122.9,1.08,0.29,1882,15,22125249,Asia
Taiwan,981203,636.9,3.94,1.04,6583,10,23893394,Asia
Tajikistan,21000,37.2,5.94,1.57,145,4,9952787,Asia
Tanzania,71999,20.8,4.86,1.28,222,11,65497748,Africa
Thailand,1302000,289.4,5.7,1.51,1261,4,71697030,Asia
Togo,15000,30.6,3.18,0.84,288,9,8848699,Africa
Tonga,899,136.3,16.2,4.28,303,2,106858,Oceania
Trinidad and Tobago,57000,634.3,3.76,0.99,4103,6,1531044,North America
Tunisia,97000,131.5,2.86,0.76,1161,9,12356117,Africa
Turkey,941861,180.9,6.06,1.6,1409,8,85341241,Asia
Turkmenistan,149000,403.4,1.62,0.43,4699,12,6430770,Asia
Uganda,32001,12.4,5.7,1.51,143,12,47249585,Africa
Ukraine,244000,83.7,6.44,1.7,579,7,39701739,Europe
United Arab Emirates,896000,1467.3,4.15,1.1,8743,6,9441129,Asia
United Kingdom,1583896,366.2,8.38,2.22,4908,13,67508936,Europe
United States of America,19687287,934.3,5.19,1.37,12218,13,338289857,North America
Uruguay,53000,237.3,7.64,2.02,2021,9,3422794,South America
Uzbekistan,49000,23.9,3.39,0.9,497,21,34627652,Asia
Vanuatu,1100,60.6,4.92,1.3,566,9,326740,Oceania
Venezuela,598000,307.1,0.08,0.02,200700,654,28301696,South America
Vietnam,478000,78.3,5.38,1.42,518,7,98186856,Asia
Yemen,60000,33.9,1.96,0.52,420,12,33696614,Asia
Zambia,22000,20.6,5.59,1.48,188,9,20017675,Africa
Zimbabwe,24000,26.2,6.13,1.62,184,7,16320537,Africa
